@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
217,129,103,22,114,0.161765,0.556034,0.854305,0.556034,0.145695,0.673629,0.410326,1.355104,0.976121
218,128,104,22,114,0.161765,0.551724,0.853333,0.551724,0.146667,0.670157,0.407609,1.353563,0.976395
219,127,105,22,114,0.161765,0.547414,0.852349,0.547414,0.147651,0.666667,0.404891,1.352002,0.977478
220,127,105,21,115,0.154412,0.547414,0.858108,0.547414,0.141892,0.668421,0.402174,1.361137,0.980167
221,127,105,20,116,0.147059,0.547414,0.863946,0.547414,0.136054,0.670185,0.399457,1.370396,0.980531
222,127,105,19,117,0.139706,0.547414,0.869863,0.547414,0.130137,0.671958,0.396739,1.379783,0.981033
223,126,106,19,117,0.139706,0.543103,0.868966,0.543103,0.131034,0.668435,0.394022,1.378359,0.981499
224,125,107,19,117,0.139706,0.538793,0.868056,0.538793,0.131944,0.664894,0.391304,1.376916,0.98272
225,125,107,18,118,0.132353,0.538793,0.874126,0.538793,0.125874,0.666667,0.388587,1.386544,0.983525
226,124,108,18,118,0.132353,0.534483,0.873239,0.534483,0.126761,0.663102,0.38587,1.385138,0.984017
227,123,109,18,118,0.132353,0.530172,0.87234,0.530172,0.12766,0.659517,0.383152,1.383712,0.984245
228,122,110,18,118,0.132353,0.525862,0.871429,0.525862,0.128571,0.655914,0.380435,1.382266,0.985129
229,121,111,18,118,0.132353,0.521552,0.870504,0.521552,0.129496,0.652291,0.377717,1.380799,0.985147
230,120,112,18,118,0.132353,0.517241,0.869565,0.517241,0.130435,0.648649,0.375,1.37931,0.986453
231,119,113,18,118,0.132353,0.512931,0.868613,0.512931,0.131387,0.644986,0.372283,1.3778,0.986644
232,119,113,17,119,0.125,0.512931,0.875,0.512931,0.125,0.646739,0.369565,1.387931,0.987221
233,118,114,17,119,0.125,0.508621,0.874074,0.508621,0.125926,0.643052,0.366848,1.386462,0.987598
234,117,115,17,119,0.125,0.50431,0.873134,0.50431,0.126866,0.639344,0.36413,1.384972,0.989726
235,116,116,17,119,0.125,0.5,0.87218,0.5,0.12782,0.635616,0.361413,1.383459,0.989881
236,115,117,17,119,0.125,0.49569,0.871212,0.49569,0.128788,0.631868,0.358696,1.381923,0.989953
237,114,118,17,119,0.125,0.491379,0.870229,0.491379,0.129771,0.628099,0.355978,1.380363,0.991097
238,113,119,17,119,0.125,0.487069,0.869231,0.487069,0.130769,0.624309,0.353261,1.37878,0.991845
239,112,120,17,119,0.125,0.482759,0.868217,0.482759,0.131783,0.620499,0.350543,1.377172,0.992667
240,111,121,17,119,0.125,0.478448,0.867188,0.478448,0.132813,0.616667,0.347826,1.375539,0.992765
241,111,121,16,120,0.117647,0.478448,0.874016,0.478448,0.125984,0.618384,0.345109,1.38637,0.992982
